timestamp,context,num_transactions,min_support,min_confidence,num_frequent_itemsets,num_rules,avg_confidence,max_confidence,runtime_seconds,status,error
2026-01-23 11:13:24,time_bucket=evening|is_weekend=0|day_of_week=4|basket_size_category=small|purchase_frequency=low,1910,0.002,0.1,266,11,0.2743,0.5,2.11,success,
2026-01-23 11:13:27,time_bucket=night|is_weekend=1|day_of_week=6|basket_size_category=medium|purchase_frequency=low,572,0.002,0.1,17732,3000,1.0,1.0,3.15,success,
2026-01-23 11:13:31,time_bucket=evening|is_weekend=0|day_of_week=5|basket_size_category=large|purchase_frequency=medium,3596,0.002,0.1,4267,2473,0.2414,1.0,4.02,success,
2026-01-23 11:13:33,time_bucket=evening|is_weekend=0|day_of_week=5|basket_size_category=small|purchase_frequency=low,1788,0.002,0.1,252,3,0.2486,0.3636,2.19,success,
2026-01-23 11:13:35,time_bucket=morning|is_weekend=0|day_of_week=3|basket_size_category=small|purchase_frequency=medium,6356,0.002,0.1,235,8,0.2349,0.4727,2.03,success,
2026-01-23 11:13:39,time_bucket=evening|is_weekend=0|day_of_week=2|basket_size_category=large|purchase_frequency=medium,3777,0.002,0.1,4313,2280,0.2393,1.0,4.21,success,
2026-01-23 11:13:45,time_bucket=night|is_weekend=0|day_of_week=2|basket_size_category=large|purchase_frequency=high,1155,0.002,0.1,75564,3000,1.0,1.0,5.43,success,
2026-01-23 11:13:47,time_bucket=morning|is_weekend=1|day_of_week=0|basket_size_category=small|purchase_frequency=high,16775,0.002,0.1,229,11,0.1495,0.3333,2.32,success,
2026-01-23 11:13:50,time_bucket=afternoon|is_weekend=0|day_of_week=3|basket_size_category=medium|purchase_frequency=medium,23103,0.002,0.1,818,117,0.1677,0.3448,3.06,success,
2026-01-23 11:13:54,time_bucket=evening|is_weekend=0|day_of_week=5|basket_size_category=large|purchase_frequency=low,1696,0.002,0.1,5034,2940,0.3472,1.0,4.04,success,
2026-01-23 11:13:56,time_bucket=evening|is_weekend=0|day_of_week=5|basket_size_category=small|purchase_frequency=high,9239,0.002,0.1,207,7,0.2268,0.4419,2.16,success,
2026-01-23 11:13:59,time_bucket=evening|is_weekend=0|day_of_week=3|basket_size_category=medium|purchase_frequency=medium,9746,0.002,0.1,858,135,0.1761,0.3889,2.75,success,
2026-01-23 11:14:01,time_bucket=night|is_weekend=0|day_of_week=3|basket_size_category=small|purchase_frequency=high,1014,0.002,0.1,230,9,0.3683,1.0,2.03,success,
2026-01-23 11:14:06,time_bucket=afternoon|is_weekend=0|day_of_week=4|basket_size_category=large|purchase_frequency=medium,7967,0.002,0.1,4159,1995,0.214,0.7241,5.42,success,
2026-01-23 11:14:09,time_bucket=afternoon|is_weekend=0|day_of_week=3|basket_size_category=small|purchase_frequency=low,4732,0.002,0.1,218,2,0.2487,0.3824,2.67,success,
2026-01-23 11:14:13,time_bucket=afternoon|is_weekend=0|day_of_week=2|basket_size_category=medium|purchase_frequency=medium,25300,0.002,0.1,875,147,0.1646,0.3363,3.46,success,
2026-01-23 11:14:15,time_bucket=evening|is_weekend=1|day_of_week=6|basket_size_category=small|purchase_frequency=low,1746,0.002,0.1,254,3,0.1797,0.2632,2.13,success,
2026-01-23 11:14:17,time_bucket=morning|is_weekend=0|day_of_week=2|basket_size_category=medium|purchase_frequency=medium,15251,0.002,0.1,885,180,0.1855,0.6471,2.64,success,
2026-01-23 11:14:19,time_bucket=morning|is_weekend=1|day_of_week=0|basket_size_category=small|purchase_frequency=medium,6524,0.002,0.1,242,9,0.1562,0.2727,1.99,success,
2026-01-23 11:14:26,time_bucket=morning|is_weekend=0|day_of_week=1|basket_size_category=medium|purchase_frequency=high,79899,0.002,0.1,1081,358,0.2363,0.7432,6.24,success,
2026-01-23 11:14:33,time_bucket=afternoon|is_weekend=0|day_of_week=2|basket_size_category=large|purchase_frequency=medium,9409,0.002,0.1,4172,2050,0.2167,0.7037,7.67,success,
2026-01-23 11:14:38,time_bucket=night|is_weekend=1|day_of_week=0|basket_size_category=medium|purchase_frequency=medium,1309,0.002,0.1,2048,1732,0.6279,1.0,4.69,success,
2026-01-23 11:14:53,time_bucket=evening|is_weekend=0|day_of_week=5|basket_size_category=large|purchase_frequency=high,11436,0.002,0.1,5367,2979,0.3707,1.0,14.49,success,
2026-01-23 11:15:06,time_bucket=evening|is_weekend=0|day_of_week=3|basket_size_category=large|purchase_frequency=low,1757,0.002,0.1,4924,2823,0.2976,1.0,13.46,success,
2026-01-23 11:15:11,time_bucket=morning|is_weekend=0|day_of_week=1|basket_size_category=small|purchase_frequency=medium,8176,0.002,0.1,240,15,0.218,0.4559,4.53,success,
2026-01-23 11:15:16,time_bucket=evening|is_weekend=0|day_of_week=2|basket_size_category=small|purchase_frequency=low,2094,0.002,0.1,213,3,0.1403,0.1818,5.5,success,
2026-01-23 11:15:23,time_bucket=evening|is_weekend=0|day_of_week=3|basket_size_category=medium|purchase_frequency=high,30087,0.002,0.1,896,175,0.1725,0.3699,7.04,success,
2026-01-23 11:15:28,time_bucket=morning|is_weekend=0|day_of_week=4|basket_size_category=medium|purchase_frequency=low,6380,0.002,0.1,874,142,0.1765,0.3864,5.33,success,
2026-01-23 11:15:53,time_bucket=morning|is_weekend=1|day_of_week=0|basket_size_category=large|purchase_frequency=high,36094,0.002,0.1,5907,2949,0.2395,0.6842,24.58,success,
2026-01-23 11:15:56,time_bucket=night|is_weekend=0|day_of_week=2|basket_size_category=medium|purchase_frequency=medium,1017,0.002,0.1,1035,534,0.4905,1.0,2.94,success,
2026-01-23 11:16:00,time_bucket=evening|is_weekend=0|day_of_week=3|basket_size_category=large|purchase_frequency=medium,3582,0.002,0.1,4053,2213,0.2425,0.8889,4.35,success,
2026-01-23 11:16:19,time_bucket=afternoon|is_weekend=0|day_of_week=1|basket_size_category=large|purchase_frequency=high,39059,0.002,0.1,4944,2896,0.2324,0.7634,18.28,success,
2026-01-23 11:16:23,time_bucket=evening|is_weekend=0|day_of_week=2|basket_size_category=small|purchase_frequency=high,11034,0.002,0.1,192,1,0.1068,0.1068,4.2,success,
2026-01-23 11:16:28,time_bucket=morning|is_weekend=0|day_of_week=1|basket_size_category=small|purchase_frequency=high,29386,0.002,0.1,244,28,0.1954,0.4368,4.82,success,
2026-01-23 11:16:33,time_bucket=afternoon|is_weekend=0|day_of_week=5|basket_size_category=small|purchase_frequency=medium,9047,0.002,0.1,213,8,0.2084,0.5606,5.0,success,
2026-01-23 11:16:38,time_bucket=afternoon|is_weekend=0|day_of_week=4|basket_size_category=small|purchase_frequency=medium,8964,0.002,0.1,212,7,0.1774,0.4091,4.89,success,
2026-01-23 11:16:45,time_bucket=evening|is_weekend=1|day_of_week=6|basket_size_category=large|purchase_frequency=low,1976,0.002,0.1,6911,2987,0.3979,1.0,7.32,success,
2026-01-23 11:16:50,time_bucket=morning|is_weekend=1|day_of_week=6|basket_size_category=medium|purchase_frequency=low,7478,0.002,0.1,955,186,0.1691,0.3671,4.66,success,
2026-01-23 11:16:55,time_bucket=morning|is_weekend=0|day_of_week=5|basket_size_category=medium|purchase_frequency=low,6969,0.002,0.1,908,156,0.1778,0.6071,5.35,success,
2026-01-23 11:17:01,time_bucket=night|is_weekend=0|day_of_week=5|basket_size_category=medium|purchase_frequency=medium,1013,0.002,0.1,964,341,0.3253,1.0,6.39,success,
2026-01-23 11:17:13,time_bucket=evening|is_weekend=1|day_of_week=0|basket_size_category=medium|purchase_frequency=high,36072,0.002,0.1,1061,289,0.1784,0.412,11.18,success,
2026-01-23 11:17:33,time_bucket=afternoon|is_weekend=1|day_of_week=6|basket_size_category=large|purchase_frequency=medium,12428,0.002,0.1,4188,2107,0.2081,0.5952,20.64,success,
2026-01-23 11:17:49,time_bucket=night|is_weekend=1|day_of_week=0|basket_size_category=large|purchase_frequency=high,1547,0.002,0.1,55552,3000,0.9543,1.0,15.47,success,
2026-01-23 11:17:51,time_bucket=afternoon|is_weekend=0|day_of_week=5|basket_size_category=medium|purchase_frequency=low,11167,0.002,0.1,824,110,0.1737,0.4066,2.71,success,
2026-01-23 11:17:54,time_bucket=evening|is_weekend=0|day_of_week=1|basket_size_category=small|purchase_frequency=low,2193,0.002,0.1,229,4,0.1998,0.3125,2.31,success,
2026-01-23 11:17:56,time_bucket=afternoon|is_weekend=0|day_of_week=4|basket_size_category=small|purchase_frequency=high,27697,0.002,0.1,217,5,0.2499,0.5489,2.33,success,
2026-01-23 11:18:03,time_bucket=evening|is_weekend=1|day_of_week=6|basket_size_category=large|purchase_frequency=high,12955,0.002,0.1,5674,2927,0.2428,0.6727,7.21,success,
